raw_text,station_id,observation_time,latitude,longitude,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,sea_level_pressure_mb,corrected,auto,auto_station,maintenance_indicator_on,no_signal,lightning_sensor_off,freezing_rain_sensor_off,present_weather_sensor_off,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,flight_category,three_hr_pressure_tendency_mb,maxT_c,minT_c,maxT24hr_c,minT24hr_c,precip_in,pcp3hr_in,pcp6hr_in,pcp24hr_in,snow_in,vert_vis_ft,metar_type,elevation_m
SPJR 081730Z 12005KT 080V160 9999 FEW025 BKN050 20/07 Q1029,SPJR,2023-06-08T17:30:00Z,-7.13,-78.48,20.0,7.0,120,5,,6.21,30.383858,,,,,,,,,,,FEW,2500,BKN,5000,,,,,VFR,,,,,,,,,,,,METAR,2622.0
SOCA 081730Z AUTO 15003KT 060V230 9999 FEW009/// SCT020/// BKN058/// ///TCU 27/24 Q1013 TEMPO 1500 SHRA SCT010 BKN015CB,SOCA,2023-06-08T17:30:00Z,4.82,-52.37,27.0,24.0,150,3,,6.21,29.911417,,,TRUE,,,,,,,,FEW,900,SCT,2000,BKN,5800,,,VFR,,,,,,,,,,,,METAR,7.0
OPPS 081730Z 31008KT 6000 HZ NSC 32/18 Q1002,OPPS,2023-06-08T17:30:00Z,33.98,71.52,32.0,18.0,310,8,,3.73,29.586615,,,,,,,,,,HZ,CLR,,,,,,,,MVFR,,,,,,,,,,,,METAR,356.0
OPMT 081730Z 00000KT 4000 FU FEW040 34/23 Q1000 NOSIG,OPMT,2023-06-08T17:30:00Z,30.2,71.42,34.0,23.0,0,0,,2.49,29.52756,,,,,,TRUE,,,,FU,FEW,4000,,,,,,,IFR,,,,,,,,,,,,METAR,122.0
OPKC 081730Z 23008KT 6000 BKN030 30/25 Q1004 NOSIG,OPKC,2023-06-08T17:30:00Z,24.9,67.13,30.0,25.0,230,8,,3.73,29.64567,,,,,,TRUE,,,,,BKN,3000,,,,,,,MVFR,,,,,,,,,,,,METAR,20.0
OPIS 081730Z 00000KT 5000 HZ NSC 27/18 Q1003 NOSIG,OPIS,2023-06-08T17:30:00Z,33.55,72.83,27.0,18.0,0,0,,3.11,29.616142,,,,,,TRUE,,,,HZ,CLR,,,,,,,,MVFR,,,,,,,,,,,,METAR,542.0
OBBI 081730Z 11005KT CAVOK 33/26 Q1002 NOSIG,OBBI,2023-06-08T17:30:00Z,26.27,50.63,33.0,26.0,110,5,,6.21,29.586615,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,6.0
NWWW 081730Z AUTO VRB02KT CAVOK 13/11 Q1014 NOSIG,NWWW,2023-06-08T17:30:00Z,-22.02,166.22,13.0,11.0,0,2,,6.21,29.940945,,,TRUE,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,16.0
NTAA 081730Z VRB04KT 9999 FEW026 SCT060 24/17 Q1016 WS R22 NOSIG,NTAA,2023-06-08T17:30:00Z,-17.55,-149.62,24.0,17.0,0,4,,6.21,30.0,,,,,,TRUE,,,,,FEW,2600,SCT,6000,,,,,VFR,,,,,,,,,,,,METAR,2.0
LZTT 081730Z 06003KT 9999 FEW006 16/15 Q1016,LZTT,2023-06-08T17:30:00Z,49.07,20.25,16.0,15.0,60,3,,6.21,30.0,,,,,,,,,,,FEW,600,,,,,,,VFR,,,,,,,,,,,,METAR,693.0
LZKZ 081730Z 07003KT 9999 FEW040 20/17 Q1014 NOSIG,LZKZ,2023-06-08T17:30:00Z,48.67,21.23,20.0,17.0,70,3,,6.21,29.940945,,,,,,TRUE,,,,,FEW,4000,,,,,,,VFR,,,,,,,,,,,,METAR,227.0
LZIB 081730Z 33003KT 9999 FEW007 FEW025CB 19/17 Q1013 NOSIG,LZIB,2023-06-08T17:30:00Z,48.17,17.22,19.0,17.0,330,3,,6.21,29.911417,,,,,,TRUE,,,,,FEW,700,FEW,2500,,,,,VFR,,,,,,,,,,,,METAR,129.0
LWSK 081730Z 02009KT 9999 FEW050 SCT090 24/15 Q1012 NOSIG,LWSK,2023-06-08T17:30:00Z,41.97,21.63,24.0,15.0,20,9,,6.21,29.88189,,,,,,TRUE,,,,,FEW,5000,SCT,9000,,,,,VFR,,,,,,,,,,,,METAR,232.0
LWOH 081730Z 12004KT 9999 FEW035TCU SCT090 21/13 Q1014,LWOH,2023-06-08T17:30:00Z,41.18,20.75,21.0,13.0,120,4,,6.21,29.940945,,,,,,,,,,,FEW,3500,SCT,9000,,,,,VFR,,,,,,,,,,,,METAR,700.0
